,Country,Address,mts2,mts2_house,Bathrooms,Bedrooms,Price
96,Capital,Mendoza,340.0,300.0,3.0,3.0,235000.0
97,Capital,Mendoza,460.0,380.0,3.0,3.0,320000.0
98,Capital,Mendoza,750.0,224.0,2.0,2.0,185000.0
99,Capital,Mendoza,357.0,580.0,4.0,3.0,300000.0
100,Capital,Mendoza,310.0,200.0,2.0,3.0,93000.0
101,Capital,Mendoza,570.0,195.0,3.0,3.0,230000.0
102,Capital,Mendoza,398.0,180.0,2.0,3.0,67500.0
103,Capital,Mendoza,45.0,45.0,1.0,2.0,40000.0
104,Capital,Mendoza,500.0,234.0,3.0,3.0,215000.0
105,Capital,Mendoza,388.0,219.0,4.0,6.0,200000.0
106,Capital,Mendoza,500.0,100.0,2.0,1.0,85000.0
107,Capital,Mendoza,700.0,400.0,4.0,4.0,500000.0
108,Capital,Mendoza,1000.0,240.0,3.0,3.0,180000.0
109,Capital,Mendoza,165.0,252.0,3.0,5.0,165000.0
110,Capital,Mendoza,117.0,112.0,3.0,3.0,89000.0
112,Capital,Mendoza,120.0,100.0,3.0,3.0,170000.0
113,Capital,Mendoza,600.0,200.0,3.0,3.0,200000.0
114,Capital,Mendoza,500.0,294.0,4.0,3.0,160000.0
115,Capital,Mendoza,577.0,230.0,3.0,3.0,220000.0
116,Capital,Mendoza,500.0,187.0,3.0,3.0,149000.0
117,Capital,Mendoza,382.0,240.0,4.0,4.0,340000.0
118,Capital,Mendoza,600.0,285.0,3.0,2.0,250000.0
119,Capital,Mendoza,240.0,140.0,3.0,3.0,170000.0
120,Capital,Mendoza,323.0,115.0,2.0,5.0,39300.0
121,Capital,Mendoza,300.0,210.0,3.0,4.0,270000.0
122,Capital,Mendoza,790.0,270.0,3.0,4.0,285000.0
123,Capital,Mendoza,202.0,145.0,2.0,3.0,70000.0
124,Capital,Mendoza,530.0,340.0,3.0,3.0,450000.0
125,Capital,Mendoza,180.0,179.0,3.0,4.0,75000.0
126,Capital,Mendoza,500.0,180.0,3.0,3.0,155000.0
127,Capital,Mendoza,300.0,180.0,2.0,3.0,240000.0
128,Capital,Mendoza,360.0,200.0,2.0,2.0,145000.0
129,Capital,Mendoza,1100.0,280.0,3.0,4.0,310000.0
130,Capital,Mendoza,188.0,150.0,3.0,3.0,120000.0
131,Capital,Mendoza,350.0,220.0,3.0,3.0,250000.0
132,Capital,Mendoza,500.0,205.0,3.0,3.0,185000.0
133,Capital,Mendoza,500.0,175.0,2.0,3.0,169000.0
134,Capital,Mendoza,1100.0,230.0,3.0,4.0,280000.0
135,Capital,Mendoza,500.0,237.0,3.0,3.0,235000.0
136,Capital,Mendoza,314.0,206.0,4.0,6.0,195000.0
137,Capital,Mendoza,600.0,250.0,5.0,5.0,300000.0
138,Capital,Mendoza,600.0,340.0,3.0,5.0,360000.0
139,Capital,Mendoza,153.0,153.0,1.0,3.0,85000.0
140,Capital,Mendoza,600.0,330.0,5.0,4.0,290000.0
141,Capital,Mendoza,390.0,360.0,3.0,4.0,239000.0
142,Capital,Mendoza,360.0,160.0,2.0,5.0,89000.0
143,Capital,Mendoza,400.0,280.0,3.0,3.0,220000.0
144,Capital,Mendoza,500.0,495.0,5.0,3.0,580000.0
145,Capital,Mendoza,600.0,340.0,3.0,4.0,380000.0
146,Capital,Mendoza,223.0,285.0,3.0,4.0,190000.0
147,Capital,Mendoza,180.0,175.0,2.0,3.0,139000.0
148,Capital,Mendoza,350.0,220.0,3.0,3.0,250000.0
149,Capital,Mendoza,1800.0,500.0,5.0,3.0,600000.0
150,Capital,Mendoza,897.0,465.0,4.0,3.0,370000.0
151,Capital,Mendoza,650.0,138.0,2.0,3.0,100000.0
152,Capital,Mendoza,300.0,230.0,3.0,4.0,240000.0
153,Capital,Mendoza,600.0,200.0,2.0,3.0,219000.0
154,Capital,Mendoza,250.0,200.0,3.0,3.0,100000.0
155,Capital,Mendoza,193.0,217.0,2.0,4.0,70000.0
156,Capital,Mendoza,210.0,165.0,3.0,3.0,150000.0
157,Capital,Mendoza,484.0,281.0,2.0,4.0,190000.0
158,Capital,Mendoza,400.0,290.0,2.0,4.0,150000.0
159,Capital,Mendoza,165.0,160.0,2.0,4.0,135000.0
160,Capital,Mendoza,1000.0,620.0,5.0,6.0,490000.0
161,Capital,Mendoza,220.0,240.0,3.0,3.0,170000.0
162,Capital,Mendoza,125.0,166.0,2.0,3.0,95000.0
163,Capital,Mendoza,175.0,140.0,2.0,2.0,110000.0
164,Capital,Mendoza,300.0,168.0,2.0,3.0,230000.0
165,Capital,Mendoza,1800.0,600.0,6.0,4.0,1000000.0
166,Capital,Mendoza,600.0,165.0,4.0,4.0,230000.0
167,Capital,Mendoza,200.0,147.0,2.0,3.0,80000.0
168,Capital,Mendoza,300.0,240.0,3.0,3.0,250000.0
169,Capital,Mendoza,277.0,126.0,2.0,3.0,110000.0
170,Capital,Mendoza,275.0,287.0,3.0,3.0,170000.0
171,Capital,Mendoza,360.0,280.0,3.0,3.0,250000.0
172,Capital,Mendoza,150.0,148.0,3.0,4.0,110000.0
173,Capital,Mendoza,300.0,160.0,2.0,3.0,248000.0
174,Capital,Mendoza,450.0,350.0,3.0,4.0,380000.0
175,Capital,Mendoza,300.0,153.0,1.0,2.0,129000.0
176,Capital,Mendoza,80.0,80.0,2.0,2.0,70000.0
177,Capital,Mendoza,720.0,420.0,6.0,3.0,550000.0
178,Capital,Mendoza,300.0,202.0,4.0,4.0,265000.0
179,Capital,Mendoza,150.0,230.0,3.0,4.0,135000.0
180,Capital,Mendoza,646.0,178.0,2.0,4.0,73000.0
181,Capital,Mendoza,881.0,436.0,5.0,4.0,550000.0
182,Capital,Mendoza,330.0,260.0,3.0,6.0,89000.0
183,Capital,Mendoza,450.0,260.0,3.0,4.0,358000.0
184,Capital,Mendoza,230.0,450.0,3.0,4.0,330000.0
185,Capital,Mendoza,94.0,65.0,1.0,2.0,38000.0
186,Capital,Mendoza,179.0,176.0,2.0,4.0,81500.0
187,Capital,Mendoza,600.0,300.0,4.0,3.0,315000.0
188,Capital,Mendoza,129.0,116.0,2.0,3.0,86000.0
189,Capital,Mendoza,160.0,140.0,2.0,3.0,65000.0
190,Capital,Mendoza,300.0,170.0,3.0,3.0,220000.0
191,Capital,Mendoza,288.0,215.0,4.0,5.0,170000.0
192,Capital,Mendoza,200.0,150.0,3.0,3.0,82000.0
193,Capital,Mendoza,300.0,150.0,3.0,3.0,240000.0
194,Capital,Mendoza,300.0,280.0,4.0,4.0,230000.0
195,Capital,Mendoza,300.0,215.0,3.0,3.0,220000.0
196,Capital,Mendoza,704.0,402.0,5.0,4.0,172000.0
197,Capital,Mendoza,338.0,123.0,1.0,3.0,65001.0
198,Capital,Mendoza,900.0,380.0,3.0,4.0,240000.0
199,Capital,Mendoza,158.0,240.0,2.0,4.0,138000.0
200,Capital,Mendoza,238.0,243.0,3.0,3.0,250000.0
201,Capital,Mendoza,720.0,370.0,4.0,3.0,550000.0
