,Country,Address,mts2,mts2_house,Bathrooms,Bedrooms,Price
99,Capital,Mendoza,357m2,580m2,4,3,US$ 300.000
100,Capital,Mendoza,310m2,200m2,2,3,US$ 93.000
101,Capital,Mendoza,570m2,195m2,3,3,US$ 230.000
102,Capital,Mendoza,398m2,180m2,2,3,US$ 67.500
103,Capital,Mendoza,45m2,45m2,1,2,US$ 40.000
104,Capital,Mendoza,500m2,234m2,3,3,US$ 215.000
105,Capital,Mendoza,388m2,219m2,4,6,US$ 200.000
106,Capital,Mendoza,500m2,100m2,2,1,US$ 85.000
107,Capital,Mendoza,700m2,400m2,4,4,US$ 500.000
108,Capital,Mendoza,1000m2,240m2,3,3,US$ 180.000
109,Capital,Mendoza,165m2,252m2,3,5,US$ 165.000
110,Capital,Mendoza,117m2,112m2,3,3,US$ 89.000
111,Capital,Mendoza,308m2,95m2,2,3,$ 20.000.000
112,Capital,Mendoza,120m2,100m2,3,3,US$ 170.000
113,Capital,Mendoza,600m2,200m2,3,3,US$ 200.000
114,Capital,Mendoza,500m2,294m2,4,3,US$ 160.000
115,Capital,Mendoza,577m2,230m2,3,3,US$ 220.000
116,Capital,Mendoza,500m2,187m2,3,3,US$ 149.000
117,Capital,Mendoza,382m2,240m2,4,4,US$ 340.000
118,Capital,Mendoza,600m2,285m2,3,2,US$ 250.000
119,Capital,Mendoza,240m2,140m2,3,3,US$ 170.000
120,Capital,Mendoza,323m2,115m2,2,5,US$ 39.300
121,Capital,Mendoza,300m2,210m2,3,4,US$ 270.000
122,Capital,Mendoza,790m2,270m2,3,4,US$ 285.000
123,Capital,Mendoza,202m2,145m2,2,3,US$ 70.000
124,Capital,Mendoza,530m2,340m2,3,3,US$ 450.000
125,Capital,Mendoza,180m2,179m2,3,4,US$ 75.000
126,Capital,Mendoza,500m2,180m2,3,3,US$ 155.000
127,Capital,Mendoza,300m2,180m2,2,3,US$ 240.000
128,Capital,Mendoza,360m2,200m2,2,2,US$ 145.000
129,Capital,Mendoza,1100m2,280m2,3,4,US$ 310.000
130,Capital,Mendoza,188m2,150m2,3,3,US$ 120.000
131,Capital,Mendoza,350m2,220m2,3,3,US$ 250.000
132,Capital,Mendoza,500m2,205m2,3,3,US$ 185.000
133,Capital,Mendoza,500m2,175m2,2,3,US$ 169.000
134,Capital,Mendoza,1100m2,230m2,3,4,US$ 280.000
135,Capital,Mendoza,500m2,237m2,3,3,US$ 235.000
136,Capital,Mendoza,314m2,206m2,4,6,US$ 195.000
137,Capital,Mendoza,600m2,250m2,5,5,US$ 300.000
138,Capital,Mendoza,600m2,340m2,3,5,US$ 360.000
139,Capital,Mendoza,153m2,153m2,1,3,US$ 85.000
140,Capital,Mendoza,600m2,330m2,5,4,US$ 290.000
141,Capital,Mendoza,390m2,360m2,3,4,US$ 239.000
142,Capital,Mendoza,360m2,160m2,2,5,US$ 89.000
143,Capital,Mendoza,400m2,280m2,3,3,US$ 220.000
144,Capital,Mendoza,500m2,495m2,5,3,US$ 580.000
145,Capital,Mendoza,600m2,340m2,3,4,US$ 380.000
146,Capital,Mendoza,223m2,285m2,3,4,US$ 190.000
147,Capital,Mendoza,180m2,175m2,2,3,US$ 139.000
148,Capital,Mendoza,350m2,220m2,3,3,US$ 250.000
149,Capital,Mendoza,1800m2,500m2,5,3,US$ 600.000
150,Capital,Mendoza,897m2,465m2,4,3,US$ 370.000
151,Capital,Mendoza,650m2,138m2,2,3,US$ 100.000
152,Capital,Mendoza,300m2,230m2,3,4,US$ 240.000
153,Capital,Mendoza,600m2,200m2,2,3,US$ 219.000
154,Capital,Mendoza,250m2,200m2,3,3,US$ 100.000
155,Capital,Mendoza,193m2,217m2,2,4,US$ 70.000
156,Capital,Mendoza,210m2,165m2,3,3,US$ 150.000
157,Capital,Mendoza,484m2,281m2,2,4,US$ 190.000
158,Capital,Mendoza,400m2,290m2,2,4,US$ 150.000
159,Capital,Mendoza,165m2,160m2,2,4,US$ 135.000
160,Capital,Mendoza,1000m2,620m2,5,6,US$ 490.000
161,Capital,Mendoza,220m2,240m2,3,3,US$ 170.000
162,Capital,Mendoza,125m2,166m2,2,3,US$ 95.000
163,Capital,Mendoza,175m2,140m2,2,2,US$ 110.000
164,Capital,Mendoza,300m2,168m2,2,3,US$ 230.000
165,Capital,Mendoza,1800m2,600m2,6,4,US$ 1.000.000
166,Capital,Mendoza,600m2,165m2,4,4,US$ 230.000
167,Capital,Mendoza,200m2,147m2,2,3,US$ 80.000
168,Capital,Mendoza,300m2,240m2,3,3,US$ 250.000
169,Capital,Mendoza,277m2,126m2,2,3,US$ 110.000
170,Capital,Mendoza,275m2,287m2,3,3,US$ 170.000
171,Capital,Mendoza,360m2,280m2,3,3,US$ 250.000
172,Capital,Mendoza,150m2,148m2,3,4,US$ 110.000
173,Capital,Mendoza,300m2,160m2,2,3,US$ 248.000
174,Capital,Mendoza,450m2,350m2,3,4,US$ 380.000
175,Capital,Mendoza,300m2,153m2,1,2,US$ 129.000
176,Capital,Mendoza,80m2,80m2,2,2,US$ 70.000
177,Capital,Mendoza,720m2,420m2,6,3,US$ 550.000
178,Capital,Mendoza,300m2,202m2,4,4,US$ 265.000
